e 7389373
non 6257811
che 6063914
di 5880995
la 3887197
il 3726599
un 3555300
a 3451723
per 2866558
è 2559257
in 2156931
una 2153925
mi 2013071
sono 2005178
ho 1823350
l' 1819882
si 1772472
ha 1662783
ma 1650248
lo 1507340
cosa 1462858
con 1440540
no 1433410
le 1425870
ti 1405833
se 1328637
da 1309931
i 1281797
come 1248657
io 1147459
ci 1131202
hai 1037387
questo 1011634
bene 978877
qui 927883
sei 921410
del 886758
tu 847129
solo 791998
mio 752241
al 745025
me 742942
tutto 704866
c' 684182
te 681861
era 657610
della 630649
mia 610137
fatto 599010
fare 583810
essere 582628
so 576344
quando 566220
sì 561011
ora 559590
lei 554384
gli 550741
ne 545511
oh 536995
questa 534612
detto 530015
ok 513655
va 507886
perche 489341
quello 485627
mai 477108
alla 469810
o 468425
anche 467913
stato 462618
abbiamo 443684
tutti 442057
dei 437381
grazie 436103
chi 432988
sta 432121
molto 430250
più 424219
voglio 421594
perché 417508
tuo 415427
beh 415077
sia 410543
nel 402628
lui 400840
allora 394873
posso 394735
piu 394239
ehi 390822
prima 387026
tua 382254
suo 381756
niente 376096
qualcosa 375353
sai 374989
siamo 373550
un' 370792
cosi 369960
davvero 362026
ancora 357766
hanno 357477
stai 356920
fa 356906
sua 354383
così 351367
casa 349304
uno 345353
dove 344643
su 340528
vero 337704
vuoi 334292
noi 329262
due 328195
quindi 327478
dire 315462
d' 312992
delle 310943
quella 296929
sempre 293460
altro 292721
sto 290409
andare 289404
ad 287858
po 282817
loro 278369
devo 277618
quel 275369
forse 270956
li 268514
proprio 265256
certo 264768
tempo 260978
nella 255595
poi 254985
vi 253715
credo 249237
vita 248223
cose 248094
sul 246230
quanto 244964
puoi 244689
fuori 244593
anni 244192
cui 242757
andiamo 239851
dell' 238490
parte 237878
visto 237793
qualcuno 232548
all' 230349
lavoro 227975
voi 227702
ciao 225358
dio 225110
volta 224925
dopo 219627
adesso 217200
stata 216946
uomo 216269
padre 211947
devi 207895
bisogno 207740
gia 205703
amico 205236
ed 203015
posto 201344
nessuno 198499
via 196759
cos' 196526
fai 195314
signore 192704
meglio 190791
cazzo 190133
dai 187292
dal 186438
vuole 185134
sembra 185098
giorno 182690
ogni 180604
modo 180304
senza 180036
vedere 179423
dobbiamo 179373
signor 177154
qualche 176926
dispiace 176847
penso 174213
ecco 173039
parlare 166324
tra 165237
mamma 164145
già 164090
sarebbe 161625
dalla 161488
troppo 161296
fosse 159796
possiamo 159449
ce 159445
nuovo 159184
male 158724
